"File","HasImages","AlreadyHadHoverStabilityBlock","Changed","MojibakeLinesBefore","MojibakeLinesAfter","MojibakeIncreased"
"billboards\we-deceive-you-believe-denver-co.html","Yes","No","Yes","0","0","No"
"billboards\weed-eagle.html","Yes","No","Yes","0","0","No"
"billboards\welcome-wall.html","Yes","No","Yes","0","0","No"
"billboards\wellington-court-mural-project.html","Yes","No","Yes","0","0","No"
"billboards\whats-in-your-body.html","Yes","No","Yes","0","0","No"
"billboards\where-a-clown-belongs-austin-tx-1983.html","Yes","No","Yes","0","0","No"
"billboards\woodstok-wall.html","Yes","No","Yes","0","0","No"
"billboards\you-are-not-a-clone-version-2.html","Yes","No","Yes","0","0","No"
"billboards\you-are-not-here.html","Yes","No","Yes","0","0","No"
"billboards\you-are-what-you-own.html","Yes","No","Yes","0","0","No"
"billboards\your-apathy-is-our-strength.html","Yes","No","Yes","0","0","No"
